state,year,tempf,tempc
Arkansas,1908,61.38333333,16.32407407
Arkansas,1909,61.29166667,16.27314815
Arkansas,1910,60.13333333,15.62962963
Arkansas,1911,62.05,16.69444444
Arkansas,1912,58.50833333,14.72685185
Arkansas,1913,60.625,15.90277778
Arkansas,1914,60.30833333,15.72685185
Arkansas,1915,59.75,15.41666667
Arkansas,1916,60.78333333,15.99074074
Arkansas,1917,58.34166667,14.63425926
Arkansas,1918,60.525,15.84722222
Arkansas,1919,60.74166667,15.96759259
Arkansas,1920,59.725,15.40277778
Arkansas,1921,63.31666667,17.39814815
Arkansas,1922,61.68333333,16.49074074
Arkansas,1923,60.74166667,15.96759259
Arkansas,1924,59.11666667,15.06481481
Arkansas,1925,61.83333333,16.57407407
Arkansas,1926,60.26666667,15.7037037
Arkansas,1927,62.01666667,16.67592593
Arkansas,1928,60.11666667,15.62037037
Arkansas,1929,59.65833333,15.36574074
Arkansas,1930,60.78333333,15.99074074
Arkansas,1931,61.66666667,16.48148148
Arkansas,1932,61.15,16.19444444
Arkansas,1933,62.31666667,16.84259259
Arkansas,1934,61.95833333,16.64351852
Arkansas,1935,60.79166667,15.99537037
Arkansas,1936,61.04166667,16.13425926
Arkansas,1937,60,15.55555556
Arkansas,1938,62.625,17.01388889
Arkansas,1939,61.975,16.65277778
Arkansas,1940,58.6,14.77777778
Arkansas,1941,61.24166667,16.24537037
Arkansas,1942,60.35833333,15.75462963
Arkansas,1943,61.06666667,16.14814815
Arkansas,1944,61.05833333,16.14351852
Arkansas,1945,60.29166667,15.71759259
Arkansas,1946,61.95833333,16.64351852
Arkansas,1947,60.2,15.66666667
Arkansas,1948,59.91666667,15.50925926
Arkansas,1949,60.875,16.04166667
Arkansas,1950,59.78333333,15.43518519
Arkansas,1951,60.1,15.61111111
Arkansas,1952,60.99166667,16.10648148
Arkansas,1953,61.80833333,16.56018519
Arkansas,1954,62.78333333,17.10185185
Arkansas,1955,60.80833333,16.00462963
Arkansas,1956,61.38333333,16.32407407
Arkansas,1957,60.575,15.875
Arkansas,1958,58.75833333,14.86574074
Arkansas,1959,60,15.55555556
Arkansas,1960,58.88333333,14.93518519
Arkansas,1961,59.13333333,15.07407407
Arkansas,1962,60.30833333,15.72685185
Arkansas,1963,60.33333333,15.74074074
Arkansas,1964,60.66666667,15.92592593
Arkansas,1965,61.025,16.125
Arkansas,1966,59.175,15.09722222
Arkansas,1967,59.86666667,15.48148148
Arkansas,1968,58.66666667,14.81481481
Arkansas,1969,59.51666667,15.28703704
Arkansas,1970,59.71666667,15.39814815
Arkansas,1971,60.46666667,15.81481481
Arkansas,1972,60.03333333,15.57407407
Arkansas,1973,60.575,15.875
Arkansas,1974,60.26666667,15.7037037
Arkansas,1975,59.875,15.48611111
Arkansas,1976,58.75,14.86111111
Arkansas,1977,60.76666667,15.98148148
Arkansas,1978,58.9,14.94444444
Arkansas,1979,57.99166667,14.43981481
Arkansas,1980,60.49166667,15.8287037
Arkansas,1981,60.225,15.68055556
Arkansas,1982,59.96666667,15.53703704
Arkansas,1983,58.86666667,14.92592593
Arkansas,1984,60.05,15.58333333
Arkansas,1985,59.84166667,15.46759259
Arkansas,1986,61.51666667,16.39814815
Arkansas,1987,61.03333333,16.12962963
Arkansas,1988,59.75,15.41666667
Arkansas,1989,58.96666667,14.98148148
Arkansas,1990,61.84166667,16.5787037
Arkansas,1991,61.3,16.27777778
Arkansas,1992,59.89166667,15.49537037
Arkansas,1993,59.30833333,15.1712963
Arkansas,1994,60.39166667,15.77314815
Arkansas,1995,60.475,15.81944444
Arkansas,1996,59.56666667,15.31481481
Arkansas,1997,59.65833333,15.36574074
Arkansas,1998,63.1,17.27777778
Arkansas,1999,62.15,16.75
Arkansas,2000,60.89166667,16.05092593
Arkansas,2001,61.225,16.23611111
Arkansas,2002,60.58333333,15.87962963
Arkansas,2003,60.26666667,15.7037037
Arkansas,2004,61.025,16.125
Arkansas,2005,61.95833333,16.64351852
Arkansas,2006,61.99166667,16.66203704
Arkansas,2007,61.80833333,16.56018519
Arkansas,2008,59.85833333,15.47685185
Arkansas,2009,59.925,15.51388889
Arkansas,2010,61.175,16.20833333
Arkansas,2011,61.81666667,16.56481481
Arkansas,2012,63.60833333,17.56018519
Arkansas,2013,59.64166667,15.35648148
Arkansas,2014,58.66666667,14.81481481
Arkansas,2015,61.4,16.33333333
Arkansas,2016,62.79166667,17.10648148
Arkansas,2017,62.54166667,16.96759259
Arkansas,2018,61.16666667,16.2037037
Arkansas,2019,61.225,16.23611111
Calfiornia,1895,56.45833333,13.58796296
Calfiornia,1896,57.46666667,14.14814815
Calfiornia,1897,56.45833333,13.58796296
Calfiornia,1898,56.7,13.72222222
Calfiornia,1899,56.55833333,13.64351852
Calfiornia,1900,57.49166667,14.16203704
Calfiornia,1901,57.24166667,14.02314815
Calfiornia,1902,56.16666667,13.42592593
Calfiornia,1903,56.20833333,13.44907407
Calfiornia,1904,57.41666667,14.12037037
Calfiornia,1905,57.075,13.93055556
Calfiornia,1906,57.18333333,13.99074074
Calfiornia,1907,56.525,13.625
Calfiornia,1908,56.23333333,13.46296296
Calfiornia,1909,56.225,13.45833333
Calfiornia,1910,57.65833333,14.25462963
Calfiornia,1911,55.375,12.98611111
Calfiornia,1912,55.54166667,13.0787037
Calfiornia,1913,56.45,13.58333333
Calfiornia,1914,57.375,14.09722222
Calfiornia,1915,56.74166667,13.74537037
Calfiornia,1916,55.58333333,13.10185185
Calfiornia,1917,56.625,13.68055556
Calfiornia,1918,56.84166667,13.80092593
Calfiornia,1919,56.275,13.48611111
Calfiornia,1920,56.09166667,13.38425926
Calfiornia,1921,57.30833333,14.06018519
Calfiornia,1922,56.05833333,13.36574074
Calfiornia,1923,56.36666667,13.53703704
Calfiornia,1924,57.15,13.97222222
Calfiornia,1925,57.14166667,13.96759259
Calfiornia,1926,58.79166667,14.88425926
Calfiornia,1927,56.875,13.81944444
Calfiornia,1928,57.675,14.26388889
Calfiornia,1929,57.23333333,14.01851852
Calfiornia,1930,56.94166667,13.85648148
Calfiornia,1931,58.28333333,14.60185185
Calfiornia,1932,56.93333333,13.85185185
Calfiornia,1933,56.71666667,13.73148148
Calfiornia,1934,59.70833333,15.39351852
Calfiornia,1935,56.84166667,13.80092593
Calfiornia,1936,58.61666667,14.78703704
Calfiornia,1937,57.15833333,13.97685185
Calfiornia,1938,57.25,14.02777778
Calfiornia,1939,58.31666667,14.62037037
Calfiornia,1940,58.83333333,14.90740741
Calfiornia,1941,57.05833333,13.9212963
Calfiornia,1942,57.05,13.91666667
